WORD,COUNT
gaminta,1
duit,9
apa2,6
dl,3
tantrum,5
ilang2,2
tag,3
brulah,1
we,6
betah,2
jlek,1
paok,1
hantu,6
kuntilanak,1
ngekos,1
situ,7
aman2,2
wqwq,1
heh,6
wekwan,1
lagiiiiii,1
hadeehh,1
angzayy,1
mute,1
protesin,1
sebel,1
siiikkkk,1
ahh,1
pliss,6
knapaaa,1
balesnya,4
anying,5
klanjutan,1
sdgkn,1
org,20
ngerespon,1
dbyr,1
klanjutannya,1
sekrg,1
satu,13
hilang,20
nat,6
geo,4
siar,2
channel2,2
mutu,2
cabut,23
cie,2
absen,7
malmingmu,1
genre,2
iyaa,4
respond,2
my,16
preman,1
mmg,4
sih,1
takud,1
bangt,3
kmu,3
prah,2
loss,12
valorant,1
20mbps,7
beliin,1
mak,1
jincik,1
nama,9
contoh,2
wifiku,4
jaringaan,1
or,3
use,1
pict,1
awowkwok,1
bln,4
juli,2
pasar,1
rebo,1
persis,1
bolak,3
njirlah,1
aja,2
kagak,9
temen,22
didiemin,1
330,1
rb,4
hufft,1
jelang,1
dibandingin,1
inisial,3
sedia,4
lemes,2
kuping,1
temenku,12
ngaco,1
idm,1
roti,1
dehhhh,1
uploadnya,1
raldiva,1
produk,9
fail,2
nntn,6
okt,1
dicreambath,1
ani,3
judul,1
suster,1
creambath,1
puas,4
pecah,1
kepala,5
nenen,1
amber,1
nenek,4
moots,1
halu,1
inget,8
digangguin,1
suara,2
toko,5
11,6
pintu,1
besi,1
ngejegrekin,1
a,1
ibu2,2
ti,1
na,4
dam,1
ayeuna,1
lila,1
pis,2
hurung,1
deui,1
siga,2
keur,1
pareum,1
listrik,15
elaaaah,1
100mbps,9
jelas,8
uang,6
25mbps,1
masangnya,1
pohon,2
wony,4
edit,3
kaki,3
tiang,9
pendek,2
jiplak,1
fashionnya,1
pantes,3
langsing,1
cuss,4
nemenin,1
cemas,1
streamingnya,1
verifikasi,1
nak,2
nab,1
tim,3
mandiricarnavalwithnabila,1
tolkon,1
lag,8
gimanaaa,1
wfh,11
alien,6
kntl,2
aduh,4
signal,6
daftarin,1
padang,4
maju,12
eta,1
post,2
image,1
pstt,1
bola,4
nyobain,1
cus,1
buatsemuamudahmu,1
telkomselprabayar,1
laris,2
pocong,1
pbg,1
warung,3
makan,13
pinggir,2
mahgrib,1
kesana,2
liatin,3
tanam,1
ngerusak,1
rumput,1
tuker,3
yutuber,1
masukin,5
arwah,1
mirna,3
rame,3
ayodong,1
yutuber2,1
keluar,2
kuat,9
tx,1
matibuda,1
oy,1
ngntt,1
dhlah,2
gaje,2
rasa,9
omong,2
satpam,1
meren,1
ngeteh,1
han,1
mandi,1
notif,4
anak2,2
kesah,2
inet,6
keong,2
tiba2,6
ajaib,1
once,1
summer,1
movies,3
cakup,3
saia,1
ato,5
mutualku,2
nga,3
pen,1
ngobrol,1
nder,20
tulung,2
weee,1
internetmu,3
isok,1
denda,11
tahun,9
motong,1
usik,2
donk,5
tegur,1
firtsmedia,1
ujung,3
kabur,3
sepenuh,2
reconect,1
teruss,3
ahhhh,3
syukur,1
frist,1
wkwkwkk,1
minneo,2
cekidot,1
gess,3
tersambung2,1
dibalassss,1
game,7
undur,1
mudah2,1
nasional,3
numpang,2
kl,26
iyee,1
cinta,6
alam,7
alias,3
dinperbaikin,1
samsek,4
goblok,3
fast,8
ngeresponse,1
dibyat,1
2x,13
perihal,6
tq,1
anjinggg,2
kotor,1
bawa2,1
demit,2
generasi,1
yha,1
tanggpan,1
repot,4
nyungsep,1
pojok,4
bimin,2
premium,3
private,1
7k,2
9k,2
11k,1
16k,1
22k,1
anti,6
limit,3
14k,1
20k,1
24k,1
knpaa,1
skssksksksm,1
tabe,1
adaji,1
salesnya,1
sudiang,1
she,1
said,1
day,1
tante,1
jessica,2
nyeletuk,2
ini,9
bunuh,1
mirnanya,1
percaya,6
blio,1
giring,1
opini,1
bangga,2
tiket,1
tingkat,10
ntah,3
nii,5
minnn,3
gni,1
cerito,1
dang,1
ajaaa,4
astagfirullahhhhhhhh,1
funfact,1
householder,1
gede,8
tenant,1
resenya,1
properti,2
deposit,1
450k,1
month,2
gil,1
tiktok,8
kusimpen,1
restu,1
istana,1
tuju,4
ngerasain,3
hangat,1
mamah,3
papah,2
ksel,1
berulang2,1
internetnyaindonesia,1
smlm,1
dikacangin,2
najis,7
krisna,5
mass,1
krisnaaaaa,1
barudak,1
fadey,2
kenan,3
th,2
2020,1
sok2,1
ngeramal,1
mei,2
gelap,1
fafifuwasweswos,1
sumpahh,1
jamred,1
oiii,1
kbs,3
korea,3
world,1
yutub,3
stlh,1
ditakeout,1
waku2,1
japan,1
agak2,1
taun,2
2022,1
smpe,5
bmkg,1
prediksi,2
gempa,1
kelas,5
nlp,3
pusat,10
1pun,1
binasa,1
blsannya,1
sbar,1
jwbn,1
chika,5
normalin,2
dear,3
wifii,1
rajin,2
plasa,3
proses,4
dehhh,1
nugasss,1
ngaku2,1
ahahah,1
jadi,2
pegang,3
oknum2,1
fc,1
cp,1
artis,2
dianggep,2
bohong,2
nungguin,4
telp,15
gadibales,2
gubris,3
ngereply,1
dmn,2
gara,18
follower,1
jahat,6
protes,6
lancarrrrr,1
bubarin,1
yaallah,8
bangsat,9
profesional,1
blok,4
restate,1
nyesel,5
1tahun,1
dendaa,1
set,9
ngobrolin,1
setan2,1
bjrot,1
rem,3
ber,3
september,13
thx,5
brukakakakkaka,1
jarak,1
meter,2
siii,5
hadoo,1
lantai,1
sjamsljdbwiwkwlsh,1
kouta,1
ggr,1
macet2,1
diperbaikin,1
aje,5
gini2,1
abang,11
hmm,3
cuy,1
dingin,1
bajing,5
ngerjain,7
suasana,1
tidur,8
ngilang,2
mood,5
nugas,4
lenyap,1
doain,3
bangkrut,3
unduh,2
skripsi,3
komunikasi,5
sekitar,1
lama,1
bjirrr,1
sie,3
lingkung,2
teliti,1
j,4
angkat,6
publik,1
diceritain,1
mknya,1
sidang,1
mb,2
heeh2,1
manjat,4
tower,4
kabar,8
argh,1
elah,4
wkwkkwk,1
phi,1
pls,13
cerdas,1
bangsa,1
salur,4
knowledge,1
useetv,1
ajah,1
sunflower,1
gil4,1
diingetin,1
toxic,1
ngricuhin,1
ranah,1
hadeh,7
gi,2
bangkeeee,1
360p,1
fm,4
kh,9
btul,1
fut,1
champs,1
80,2
0,3
pending,1
internenya,1
masak,3
engineer,1
jes,1
darlan,2
30mb,3
40an,2
kb,4
jingannn,1
tingkatin,1
frustasi,1
fokus,1
ilangan,4
ayah,4
loyal,1
fotokopi,1
print,1
scan,5
panggil2,1
bangun,4
benerin,14
tlong,2
bangunin,1
haha,1
gajelass,1
saing,5
gengges,1
bayarin,3
gabut,3
refreshment,2
wwkwkw,1
sat,7
kayam,1
curhat,1
psikiater,2
im,2
hotstar,9
annual,3
bonus,8
otomatis,3
manuk,1
onoke,1
tok,1
vi,1
mola,1
rada,3
daya,1
penghuna,1
stuck,1
perbaikanya,1
speedy,1
gretongan,1
samaaa,1
jujung,1
net,1
simpati,2
ngeisolir,1
gbsa,1
amsyonggggg,1
krystal,1
unni,1
sering,2
luh,2
history,1
transaksi,4
acc,1
iri,1
super,6
tutorial,1
hao,1
supranatural,1
ngopi,1
santai,1
tips,7
n,5
trick,1
latency,1
evemt,1
ubur2,1
nyelem,1
joki,2
gara2,5
fuck,1
parung,1
13,3
today,2
belit,1
makhluk,1
item,3
nolongin,1
myrep,3
lis,1
inimah,1
stress,7
bgtttt,4
baru2,1
hati2,1
promoan,1
ngecall,1
greb,1
absurd,1
jeda,1
tetau,1
mertua,3
password,9
cucu,3
colong,1
sekomplek,1
cuk,3
tulah,1
ngevlog,2
ngedit,2
upload,12
5gb,1
video,8
yt,5
6jam,1
overnight,1
pagi,1
subs,1
mayanlah,1
karya,4
batwheel,1
seasons,1
go,6
install,3
bebas,3
batwheels,1
palopo,1
security,2
busett,1
kenyang,1
tailah,1
ditnggu,1
vlok,1
dik,1
gaji,7
buta,1
diladenin,1
costumernya,1
naekin,2
jidat,1
ngasi,1
naek,1
bagus2nya,1
